time,open,high,low,close,Volume
1745889600,27.28,27.28,26.41,26.48,
1745976000,26.3,26.64,26.04,26.53,
1746148800,26.13,27.56,26.1,27.4,
1746494400,27.31,27.51,27.02,27.15,
1746580800,28.89,28.89,27.36,27.49,
1746667200,27.77,27.77,26.59,27.02,
1746753600,27.12,27.15,26.68,27.04,
1747012800,27.2,27.92,26.25,27.11,
1747099200,25.39,26.02,24.71,25.11,
1747185600,24.44,25.49,24.25,25.43,
1747272000,24.58,24.68,24.24,24.56,
1747358400,23.99,24.17,23.54,23.66,
1747617600,23.88,24.38,23.61,23.87,
1747704000,23.91,24.31,23.75,24.02,
1747790400,23.55,24.1,23.13,23.66,
1747876800,23.65,23.92,23.47,23.71,
1747963200,23.5,23.54,22.92,23.07,
1748222400,23.82,25.1,23.78,24.27,
1748308800,23.85,24.33,23.35,23.4,
1748395200,22.96,22.99,22.55,22.74,
1748481600,22.96,23.26,22.63,22.89,
1748568000,23.19,23.46,22.68,23.05,
1748827200,23.92,25.26,23.91,24.58,
1748913600,24.29,24.76,24.14,24.76,
1749000000,24.14,24.17,23.69,23.71,
1749086400,23.67,23.68,23.14,23.35,
1749172800,23.08,23.09,22.5,22.5,
1749432000,22.24,23.59,22.24,23.2,
1749518400,23.04,23.59,22.99,23.41,
1749604800,22.92,23.21,22.79,23.17,
1749691200,23.05,23.09,22.57,22.88,
1749777600,23.74,23.83,23.16,23.33,
1750036800,23.19,23.22,22.43,22.43,
1750123200,22.24,22.47,21.86,22.09,
1750209600,22.14,22.26,21.59,21.72,
1750296000,21.49,22.7,21.34,22.54,
1750382400,21.24,21.6,20.48,21.45,
1750641600,22.5,22.54,21.41,21.59,
1750728000,20.42,21.23,20.34,21.16,
1750814400,21.31,22.11,21.25,21.53,
1750900800,21.21,21.25,20.89,21.09,
1750987200,21.26,21.27,20.25,20.38,
1751246400,20.97,20.97,20.05,20.16,
1751419200,20.6,20.77,20.23,20.31,
1751505600,20.14,20.52,20,20.13,
1751592000,20.1,20.48,19.8,20.16,
1751851200,20.44,20.72,20.18,20.19,
1751937600,19.96,20.37,19.87,20.35,
1752024000,20.06,20.11,19.7,19.93,
1752110400,19.81,20.72,19.27,20.22,
1752196800,20.24,22.28,20.24,21.49,
1752456000,21.7,21.88,21.33,21.4,
1752542400,21.46,23,21.46,22.95,
1752628800,23.31,23.66,22.18,22.19,
1752715200,22.05,22.22,21.28,21.61,
1752801600,22.32,22.37,20.74,22.15,
1753060800,23.36,23.57,22.35,22.58,
1753147200,22.7,22.91,22.37,22.53,
1753233600,22.73,23.63,22.73,23.28,
1753320000,23.4,23.56,22.64,22.93,
1753406400,22.49,22.8,21.77,22.59,
1753665600,22.97,23.65,22.87,22.99,
1753752000,22.57,22.67,21.9,22.07,
1753838400,21.56,21.73,20.96,21.06,
1753924800,20.76,21.39,20.38,21.36,
1754011200,21.17,21.4,20.8,21.35,
1754270400,21.75,21.91,21.36,21.47,
1754356800,21.05,21.05,20.48,20.5,
1754443200,20.41,20.49,20.1,20.39,
1754529600,20.39,20.8,20.24,20.65,
1754616000,20.55,20.6,20.01,20.53,
1754875200,21.06,21.24,20.64,20.68,
1754961600,20.55,20.55,19.41,19.71,
1755048000,19.96,21.24,19.7,21.17,
1755134400,21.14,21.17,20.41,20.58,
1755220800,20.26,20.3,19.62,19.7,
1755480000,20.45,20.84,20.27,20.45,
1755566400,20.19,20.21,19.57,19.83,
1755652800,19.99,20.09,19.43,19.44,
1755739200,19.38,19.4,18.88,19.06,
1755825600,19.21,20.19,19.09,20.13,
1756084800,21.81,22.28,21.09,21.85,
1756171200,20.98,21.03,20.25,20.41,
1756257600,20.26,20.33,19.54,19.97,
1756344000,20.03,20.2,19.62,20.04,
1756430400,20.15,21.19,20.14,21.02,
1756689600,22.01,22.2,21.58,21.6,
1756776000,21.28,21.31,20.38,20.98,
1756862400,21.31,21.82,20.66,20.93,
1756948800,21.01,21.02,20.38,20.62,
1757035200,20.36,20.8,19.68,20.41,
1757294400,20.79,20.91,20.15,20.16,
1757380800,20.06,20.94,19.96,20.34,
1757467200,20.46,20.92,20.01,20.73,
1757553600,20.74,21.46,20.53,21.18,
1757640000,22.76,22.89,21.45,21.47,
1757899200,21.85,21.96,21.43,21.66,
1757985600,22.01,22.26,21.44,21.47,
1758072000,21.8,22.56,21.43,22.46,
1758158400,21.95,22.47,21.46,21.79,
1758244800,21.51,21.94,21,21,
1758504000,21.77,22.04,21.46,21.62,
1758590400,21.3,21.33,20.53,20.59,
1758676800,20.3,21.59,20.21,21.38,
1758763200,21.12,21.3,20.42,20.43,
1758849600,19.9,20.46,19.29,20.2,
1759108800,20.83,21.24,20.54,21.12,
1759195200,21.05,21.36,20.52,21.22,
1759368000,21.23,21.97,20.92,21.65,
1759454400,21.37,21.38,20.35,21.03,
1759713600,21.29,21.32,20.61,20.86,
1759886400,20.97,21.4,20.73,21.39,
1759972800,21.37,21.96,21.33,21.91,
1760059200,22.36,22.39,21.68,22.21,
1760318400,27.51,28.84,25.44,26.3,
1760404800,24.26,27.85,23.28,27.22,
1760491200,25.55,25.95,24.99,25.03,
1760577600,25.37,26.54,25.04,25.87,
1760664000,26.88,29.58,26.43,28.88,
1760923200,25.27,25.8,25.27,25.48,
1761009600,24.77,24.78,23.83,24.71,
1761096000,24.52,24.52,23.83,24.03,
1761182400,24.53,25.29,24.16,24.71,
1761268800,24.52,25.14,24.32,25.07,
1761528000,24.6,24.71,23.88,24.08,
